state_fips,county_fips,total_emp,manufacturing_emp,prop_manuf_loss,prop_total_loss
13,095,40012,5154,0.26406674427629023,0.0340147955613316
13,097,33992,3241,0.024683739586547362,0.002353494939985879
13,099,2929,1,0,0
13,101,60,1,0,0
13,103,7112,1,0,0
13,105,5225,1,0,0
13,107,5360,2100,0.08571428571428572,0.033582089552238806
13,109,3771,1,0,0
13,111,4444,1,0,0
13,115,34138,6498,0.013850415512465374,0.0026363583103872516
13,117,57948,1,0,0
13,119,5751,1408,0.11576704545454546,0.028342896887497828
13,121,714815,19284,0.028572910184609,7.708288158474571e-4
13,123,6587,1,0,0
13,125,205,1,0,0
13,127,31508,1,0,0
13,129,16016,1,0,0
13,131,4017,750,0.1,0.018670649738610903
13,133,4696,1,0,0
13,135,293265,20187,0.027443404171001138,0.0018890764325780436
13,137,11341,1,0,0
13,139,59965,15239,0.03281055187348251,0.008338197281747686
13,141,703,1,0,0
13,143,5375,1,0,0
13,145,3324,1,0,0
13,147,4646,1173,0.10400682011935208,0.026259147653895823
13,149,1147,1,0,0
13,151,40160,2594,0.01117964533538936,7.221115537848605e-4
13,153,33434,4047,0.011366444279713369,0.001375844948256266
13,155,1568,1,0,0
13,157,14955,4325,0.08,0.02313607489134069
13,159,1611,1,0,0
13,161,3444,1213,0.09727947238252267,0.03426248548199768
13,163,4031,1090,0.4559633027522936,0.12329446787397669
13,165,992,1,0,0
13,167,1187,1,0,0
13,169,2567,1,0,0
13,171,2633,1,0,0
13,173,885,1,0,0
13,175,15326,2875,0.028521739130434782,0.005350384966723215
13,177,3568,1,0,0
13,179,13049,1,0,0
13,181,976,1,0,0
13,183,385,1,0,0
13,185,38938,3243,0.039469626888683315,0.0032872772099234683
13,187,4426,1,0,0
13,189,6388,1,0,0
13,191,1435,1,0,0
13,193,2086,1,0,0
13,195,2195,255,0.3607843137254902,0.04191343963553531
13,197,1260,1,0,0
13,199,3278,1,0,0
13,201,1136,1,0,0
13,205,6564,1,0,0
13,207,5490,435,0.11954022988505747,0.00947176684881603
13,209,1201,1,0,0
13,211,5291,1,0,0
13,213,8335,1,0,0
13,215,78925,6868,0.07585905649388468,0.006601203674374406
13,217,17082,4079,0.025986761461142437,0.006205362369745932
13,219,7815,1,0,0
13,221,1075,1,0,0
13,223,14094,1,0,0
13,225,6257,1,0,0
13,227,5863,1,0,0
13,229,3073,221,0.13574660633484162,0.009762447120078099
13,231,1648,1,0,0
13,233,9756,1,0,0
13,235,1918,60,0.9833333333333333,0.030761209593326382
13,237,5119,1,0,0
13,239,223,1,0,0
13,241,4237,1,0,0
13,243,1284,1,0,0
13,245,81854,7712,0.23353215767634855,0.022002589977276613
13,247,28387,1,0,0
13,249,1033,1,0,0
13,251,2681,1,0,0
13,253,1554,1,0,0
13,255,16997,1,0,0
