state_cens,state,state2,empl,member,year
92,Oregon,OR,1076648.0791666682,211582.22833333336,1987
23,Pennsylvania,PA,4783938.222500001,1051193.286666666,1987
15,Rhode Island,RI,450559.2108333326,95605.81416666655,1987
57,South Carolina,SC,1399242.8816666675,69757.42000000003,1987
45,South Dakota,SD,255984.00083333443,20107.873333333326,1987
62,Tennessee,TN,1941043.8291666647,235283.03166666647,1987
74,Texas,TX,6758220.402500031,440151.87833333324,1987
87,Utah,UT,621339.2908333336,62950.05166666666,1987
13,Vermont,VT,239431.54083333316,26697.562499999996,1987
54,Virginia,VA,2598656.180833341,233061.4325,1987
91,Washington,WA,1761698.2491666689,414024.77333333314,1987
55,West Virginia,WV,604904.9766666658,130908.46833333341,1987
35,Wisconsin,WI,2034710.7591666686,434702.1091666662,1987
83,Wyoming,WY,187800.77583333335,25759.420000000006,1987
63,Alabama,AL,1554866.5783333315,220543.06250000006,1988
94,Alaska,AK,185978.78333333347,45145.434166666666,1988
86,Arizona,AZ,1363441.9674999968,94288.47000000002,1988
71,Arkansas,AR,892417.1591666673,85601.01250000008,1988
93,California,CA,11642847.619999953,2150114.799166672,1988
84,Colorado,CO,1390723.0158333338,146191.22416666665,1988
16,Connecticut,CT,1543667.7325000037,299499.0908333336,1988
51,Delaware,DE,310679.22499999957,48640.885833333356,1988
53,District of Columbia,DC,296623.4941666671,44177.730833333335,1988
59,Florida,FL,5045206.029166658,393815.2833333334,1988
58,Georgia,GA,2659400.45166667,280593.09166666673,1988
95,Hawaii,HI,441548.93499999976,134465.3383333333,1988
82,Idaho,ID,374356.5233333333,42321.29916666668,1988
33,Illinois,IL,4840746.460833325,1031205.4308333345,1988
32,Indiana,IN,2361315.510833339,485596.78916666674,1988
42,Iowa,IA,1157456.8316666677,168440.58,1988
47,Kansas,KS,1043346.7183333352,127028.95999999995,1988
61,Kentucky,KY,1382977.6450000014,228041.82750000004,1988
72,Louisiana,LA,1518784.675,145437.70083333337,1988
11,Maine,ME,491652.67749999906,81544.62,1988
52,Maryland,MD,2130264.4208333325,330576.2408333334,1988
14,Massachusetts,MA,2754978.6491666706,508599.77333333273,1988
34,Michigan,MI,3790659.5999999903,1009183.8625000002,1988
41,Minnesota,MN,1908899.814166673,392396.4650000002,1988
64,Mississippi,MS,931094.5299999986,70381.00833333332,1988
43,Missouri,MO,2146850.0824999963,359817.8916666669,1988
81,Montana,MT,292682.7366666662,51858.75583333335,1988
46,Nebraska,NE,654775.0733333328,76564.05333333339,1988
88,Nevada,NV,497307.3024999989,90028.42250000002,1988
12,New Hampshire,NH,500669.46083333314,51170.53833333331,1988
22,New Jersey,NJ,3426028.3099999935,817375.9041666673,1988
85,New Mexico,NM,534754.7383333344,44754.50166666666,1988
21,New York,NY,7231093.469166662,2031878.223333329,1988
56,North Carolina,NC,2863365.8575000004,181475.91749999984,1988
44,North Dakota,ND,244749.5816666671,27882.85166666666,1988
31,Ohio,OH,4481421.461666646,1001849.0483333316,1988
73,Oklahoma,OK,1205991.1141666677,119015.73416666665,1988
92,Oregon,OR,1102633.511666667,228836.84583333327,1988
23,Pennsylvania,PA,4907112.099999967,1036111.4275000005,1988
15,Rhode Island,RI,455939.05916666583,90420.57,1988
57,South Carolina,SC,1416577.419999998,72526.49416666663,1988
45,South Dakota,SD,256627.97583333313,22901.970000000016,1988
62,Tennessee,TN,1952921.615000007,239556.45666666664,1988
74,Texas,TX,6836193.212500003,474654.88833333354,1988
87,Utah,UT,617704.8608333329,75632.4808333333,1988
13,Vermont,VT,243192.09083333332,25893.579166666656,1988
54,Virginia,VA,2712935.6608333346,248623.24083333323,1988
91,Washington,WA,1884093.0458333348,456909.29416666686,1988
55,West Virginia,WV,596999.4575000003,120643.14666666667,1988
35,Wisconsin,WI,2151684.633333326,467780.5925,1988
83,Wyoming,WY,179209.22666666665,23671.770833333332,1988
63,Alabama,AL,1604534.6075000013,221475.8191666667,1989
94,Alaska,AK,187941.06333333332,42927.00249999998,1989
86,Arizona,AZ,1386947.1966666689,101229.77083333337,1989
